date,commodity,price_index,volatility_score
2025-07-07,Semiconductor Memory,116.9,0.58
2025-07-07,Aluminium,101.2,0.34
2025-07-07,Copper,113.1,0.4
2025-07-07,Lithium,130.9,0.68
2025-07-07,Steel,97.1,0.28
2025-07-07,Nickel,104.4,0.45
2025-07-07,Rare Earth Elements,133.9,0.72
2025-07-07,Silicon,114.0,0.38
2025-07-07,Palladium,91.8,0.31
2025-07-07,Platinum,95.4,0.29
2025-07-07,Cobalt,122.3,0.62
2025-07-07,Magnesium,101.0,0.32
2025-07-07,Carbon Fibre,112.9,0.25
2025-07-14,Semiconductor Memory,109.7,0.58
2025-07-14,Aluminium,108.7,0.34
2025-07-14,Copper,114.4,0.4
2025-07-14,Lithium,125.9,0.68
2025-07-14,Steel,96.9,0.28
2025-07-14,Nickel,112.6,0.45
2025-07-14,Rare Earth Elements,148.6,0.72
2025-07-14,Silicon,115.1,0.38
2025-07-14,Palladium,92.2,0.31
2025-07-14,Platinum,87.6,0.29
2025-07-14,Cobalt,112.7,0.62
2025-07-14,Magnesium,105.0,0.32
2025-07-14,Carbon Fibre,105.6,0.25
2025-07-21,Semiconductor Memory,112.5,0.58
2025-07-21,Aluminium,106.5,0.34
2025-07-21,Copper,106.3,0.4
2025-07-21,Lithium,120.7,0.68
2025-07-21,Steel,104.4,0.28
2025-07-21,Nickel,109.4,0.45
2025-07-21,Rare Earth Elements,148.7,0.72
2025-07-21,Silicon,109.0,0.38
2025-07-21,Palladium,93.5,0.31
2025-07-21,Platinum,89.3,0.29
2025-07-21,Cobalt,124.1,0.62
2025-07-21,Magnesium,105.6,0.32
2025-07-21,Carbon Fibre,113.0,0.25
2025-07-28,Semiconductor Memory,112.8,0.58
2025-07-28,Aluminium,105.7,0.34
2025-07-28,Copper,112.1,0.4
2025-07-28,Lithium,124.6,0.68
2025-07-28,Steel,104.8,0.28
2025-07-28,Nickel,103.6,0.45
2025-07-28,Rare Earth Elements,136.6,0.72
2025-07-28,Silicon,117.0,0.38
2025-07-28,Palladium,90.8,0.31
2025-07-28,Platinum,98.4,0.29
2025-07-28,Cobalt,125.8,0.62
2025-07-28,Magnesium,97.8,0.32
2025-07-28,Carbon Fibre,110.3,0.25
2025-08-04,Semiconductor Memory,113.1,0.58
2025-08-04,Aluminium,100.3,0.34
2025-08-04,Copper,110.7,0.41
2025-08-04,Lithium,132.2,0.68
2025-08-04,Steel,99.2,0.28
2025-08-04,Nickel,114.7,0.45
2025-08-04,Rare Earth Elements,140.2,0.72
2025-08-04,Silicon,114.8,0.38
2025-08-04,Palladium,99.2,0.31
2025-08-04,Platinum,96.2,0.29
2025-08-04,Cobalt,112.3,0.62
2025-08-04,Magnesium,98.2,0.33
2025-08-04,Carbon Fibre,113.2,0.25
2025-08-11,Semiconductor Memory,114.0,0.58
2025-08-11,Aluminium,110.3,0.35
2025-08-11,Copper,106.1,0.4
2025-08-11,Lithium,120.3,0.68
2025-08-11,Steel,102.6,0.28
2025-08-11,Nickel,109.3,0.45
2025-08-11,Rare Earth Elements,140.1,0.73
2025-08-11,Silicon,112.6,0.38
2025-08-11,Palladium,96.9,0.31
2025-08-11,Platinum,90.0,0.29
2025-08-11,Cobalt,126.9,0.62
2025-08-11,Magnesium,103.8,0.32
2025-08-11,Carbon Fibre,103.7,0.25
2025-08-18,Semiconductor Memory,114.8,0.58
2025-08-18,Aluminium,102.4,0.34
2025-08-18,Copper,106.2,0.4
2025-08-18,Lithium,123.1,0.69
2025-08-18,Steel,104.1,0.28
2025-08-18,Nickel,106.5,0.45
2025-08-18,Rare Earth Elements,139.6,0.72
2025-08-18,Silicon,120.0,0.38
2025-08-18,Palladium,96.4,0.32
2025-08-18,Platinum,97.1,0.29
2025-08-18,Cobalt,114.3,0.62
2025-08-18,Magnesium,103.9,0.32
2025-08-18,Carbon Fibre,111.9,0.25
2025-08-25,Semiconductor Memory,124.2,0.57
2025-08-25,Aluminium,104.9,0.34
2025-08-25,Copper,117.2,0.4
2025-08-25,Lithium,122.9,0.68
2025-08-25,Steel,99.1,0.28
2025-08-25,Nickel,107.0,0.46
2025-08-25,Rare Earth Elements,144.0,0.73
2025-08-25,Silicon,115.0,0.37
2025-08-25,Palladium,102.8,0.32
2025-08-25,Platinum,99.2,0.3
2025-08-25,Cobalt,125.5,0.62
2025-08-25,Magnesium,105.0,0.32
2025-08-25,Carbon Fibre,107.9,0.24
2025-09-01,Semiconductor Memory,116.0,0.59
