timestamp,plant,line,machine_id,part_id,batch_id,shift,operator_id,temperature,pressure,torque,welding_current,cycle_time,energy_kwh,defect
2026-04-15 08:00,Pune Plant,Line 2,M001,P001,BX100,Day,O100,74.2,4.0,23.5,0,57.2,13.3,0
2026-04-15 20:00,Pune Plant,Line 2,M001,P001,BX100,Night,O200,75.4,4.0,21.6,0,50.7,11.9,0
2026-04-15 08:00,Pune Plant,Line 2,M002,P001,BX101,Day,O101,73.5,4.0,23.1,0,55.8,13.3,0
2026-04-15 20:00,Pune Plant,Line 2,M002,P001,BX101,Night,O201,74.7,4.0,22.7,0,59.8,12.8,0
2026-04-15 08:00,Pune Plant,Line 2,M003,P001,BX102,Day,O102,74.9,4.6,23.6,0,54.2,11.3,0
2026-04-15 20:00,Pune Plant,Line 2,M003,P001,BX102,Night,O202,78.0,4.7,19.6,0,49.5,12.8,0
2026-04-15 08:00,Pune Plant,Line 2,M004,P001,BX103,Day,O103,74.6,4.6,26.8,0,55.3,15.5,0
2026-04-15 20:00,Pune Plant,Line 2,M004,P001,BX103,Night,O203,74.3,4.7,26.3,0,59.2,14.0,0
2026-04-15 08:00,Pune Plant,Line 3,M005,P002,BX104,Day,O100,73.2,4.5,21.8,182.1,56.9,14.3,0
2026-04-15 20:00,Pune Plant,Line 3,M005,P002,BX104,Night,O200,73.3,3.9,19.2,182.8,57.2,13.4,0
2026-04-15 08:00,Pune Plant,Line 3,M006,P002,BX105,Day,O101,74.9,4.1,21.8,182.7,59.9,11.5,0
2026-04-15 20:00,Pune Plant,Line 3,M006,P002,BX105,Night,O201,76.9,4.3,25.1,186.3,52.1,11.5,1
2026-04-15 08:00,Pune Plant,Line 3,M007,P002,BX106,Day,O102,70.2,4.4,24.6,182.1,55.0,12.1,0
2026-04-15 20:00,Pune Plant,Line 3,M007,P002,BX106,Night,O202,73.3,4.7,19.5,188.0,61.2,14.3,1
2026-04-15 08:00,Pune Plant,Line 3,M008,P002,BX107,Day,O103,71.9,4.4,24.4,182.9,51.1,14.0,0
