date,title,category,country,commodity,risk_level,risk_score
2025-10-01,Memory chip shortage warning hits automotive electronics,Semiconductor,Global,Semiconductor Memory,High,0.73
2025-10-03,Taiwan fab capacity constrained amid geopolitical uncertainty,Semiconductor,Taiwan,Semiconductor Memory,High,0.83
2025-10-05,Chinese chipmaker faces US export restrictions escalation,Semiconductor,China,Semiconductor Memory,High,0.77
2025-10-07,Korean DRAM output reduced by 12% due to equipment shortage,Semiconductor,South Korea,Semiconductor Memory,Medium,0.59
2025-10-09,Japanese wafer supplier flags capacity ceiling for 2026,Semiconductor,Japan,Silicon,Low,0.41
2025-10-11,Silicon carbide supply falls short of EV inverter demand,Semiconductor,Global,Silicon,Medium,0.64
2025-10-13,"US chip incentives attract new fab investments, lead times improve",Semiconductor,USA,Semiconductor Memory,Medium,0.46
2025-10-15,Memory chip shortage warning hits automotive electronics — latest update,Semiconductor,Global,Semiconductor Memory,High,0.72
2025-10-15,ADAS chip lead times extend to 52 weeks amid design complexity,Semiconductor,Global,Semiconductor Memory,High,0.76
2025-10-17,Taiwan fab capacity constrained amid geopolitical uncertainty — latest update,Semiconductor,Taiwan,Semiconductor Memory,High,0.8
2025-10-17,Shanghai port export restrictions impact chip shipments,Semiconductor,China,Semiconductor Memory,High,0.78
2025-10-19,Chinese chipmaker faces US export restrictions escalation — latest update,Semiconductor,China,Semiconductor Memory,High,0.68
2025-10-19,SiC wafer prices rise 22% as EV adoption accelerates,Semiconductor,Global,Silicon,Medium,0.64
2025-10-21,Korean DRAM output reduced by 12% due to equipment shortage — latest update,Semiconductor,South Korea,Semiconductor Memory,Medium,0.55
2025-10-21,Next-gen automotive ECU shortage delays production ramp,Semiconductor,Global,Semiconductor Memory,High,0.73
2025-10-23,Japanese wafer supplier flags capacity ceiling for 2026 — latest update,Semiconductor,Japan,Silicon,Medium,0.56
2025-10-23,"TSMC capacity allocation shifts towards AI, squeezing auto",Semiconductor,Taiwan,Silicon,High,0.67
2025-10-25,Silicon carbide supply falls short of EV inverter demand — latest update,Semiconductor,Global,Silicon,Medium,0.59
2025-10-25,Port congestion at Shanghai increases automotive shipment delays,Logistics,China,NA,Medium,0.49
2025-10-27,"US chip incentives attract new fab investments, lead times improve — latest update",Semiconductor,USA,Semiconductor Memory,Low,0.39
2025-10-27,Red Sea rerouting adds 12 days to Europe-Asia automotive shipments,Logistics,Global,NA,Medium,0.54
2025-10-29,Memory chip shortage warning hits automotive electronics — analysts weigh in,Semiconductor,Global,Semiconductor Memory,High,0.83
