part_id,part_name,category,material,criticality,current_supplier_id,vehicle_model,plant,line,daily_consumption,current_inventory,safety_stock,commodity,demand_volatility
P001,Infotainment MCU,Semiconductor,Silicon,High,S001,EV SUV X,Pune Plant,Line 2,420,4500,5000,Semiconductor Memory,0.95
P002,Battery Tray,EV Component,Aluminium,High,S004,EV SUV X,Pune Plant,Line 3,180,2900,2500,Aluminium,0.52
P003,Wiring Harness Connector,Electrical,Copper Plastic,Medium,S005,Hatchback Z,Chennai Plant,Line 1,650,12000,8000,Copper,0.46
P004,Body Control Unit Chip,Semiconductor,Silicon,High,S001,Premium Sedan Y,Chennai Plant,Line 2,260,3200,4000,Semiconductor Memory,0.71
P005,Motor Controller Housing,EV Component,Aluminium Alloy,Medium,S004,EV SUV X,Pune Plant,Line 3,120,2100,1800,Aluminium,0.4
P006,ADAS Central ECU,Semiconductor,Silicon,High,S007,EV SUV X,Pune Plant,Line 2,200,2200,3000,Semiconductor Memory,0.88
P007,LiDAR Sensor Module,Sensor,Silicon Optical,High,S020,EV SUV X,Pune Plant,Line 4,150,1800,2500,Semiconductor Memory,0.82
P008,Battery Management System,EV Component,PCB Composite,High,S002,EV SUV X,Pune Plant,Line 3,180,1600,2200,Semiconductor Memory,0.79
P009,Motor Stator Lamination,EV Component,Electrical Steel,High,S004,EV SUV X,Pune Plant,Line 3,200,3500,3000,Steel,0.55
P010,Copper Busbar,Electrical,Copper,Medium,S005,EV SUV X,Pune Plant,Line 3,350,6200,5000,Copper,0.48
P011,Power Inverter Module,Power Electronics,Silicon Carbide,High,S003,EV SUV X,Chennai Plant,Line 4,130,1400,2000,Semiconductor Memory,0.84
P012,Thermal Management Plate,EV Component,Aluminium,Medium,S009,Premium Sedan Y,Pune Plant,Line 3,160,2800,2400,Aluminium,0.44
P013,Door Control Module,Body Electronics,PCB,Medium,S013,Premium Sedan Y,Chennai Plant,Line 1,440,7200,6000,Semiconductor Memory,0.61
P014,HVAC Controller Unit,Body Electronics,PCB,Medium,S014,Premium Sedan Y,Chennai Plant,Line 1,280,4800,4000,Semiconductor Memory,0.58
